CGS	;CGS
Ministerio de Cienciae Innovacion of the Spanish Government	;Ministerio de Cienciae Innovacion of the Spanish Government
National Research Foundation of South Africa under the Joint Italy - South Africa Science and Technology Agreement	;National Research Foundation of South Africa under the Joint Italy - South Africa Science and Technology Agreement
PIEMONTE	;PIEMONTE project
R&D	;MEDai Inc  an Elsevier Company R&D team in Orlando Florida USA;National High-tech R&D Program from the Ministry of Science and Technology  MST  of the People's Republic of China;National High-tech R&D Program of china;National Key Technology R&D Program in China;National Key Technology R&D Program of China;National Key Technology R&D Program Projects;R&D Department and School of Computer and Communication Engineering of Universiti Malaysia Perlis Malaysia;R&D in Priority Areas of Russia's Science and Technological Complex Development;R&D Special Fund for Public Welfare Industry  meteorology;Spanish Ministry of Economy and Competitiveness under the R&D project CALISTA;Spanish R&D Nat  Plan  MINECO;Spanish R&D projects funding program
Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission	;Higher Education Research Promotion and National Research University Project of Thailand Office of Higher Education Commission
FRSQ	;Fonds de la Recherche en Sante du Quebec  FRSQ
University of Cyprus	;University of Cyprus
NIMH	;NIMH NIH HHS
DSR	;Deanship of Scientific Research  DSR  at King Fahd University of Petroleum & Minerals  KFUPM;Deanship of Scientific Research  DSR  of King Fahd University of Petroleum & Minerals Saudi Arabia;Deanship of Scientific Research  DSR  King Abdulaziz University  KAU  Jeddah;eanship of Scientific Research  DSR
United States Navy Naval Air System Command	;United States Navy Naval Air System Command
VEGA	;Slovak Grant Agency VEGA  Ministry of Education   Intelligent Approach to Automated Diagnostic Problem Solving of Machinery Equipment;VEGA;VEGA --- Algorithms of situational control and modeling of large scale systems;VEGA Energy Balance Research on Rainwater Management in the Cities of the Future
James Martin School	;James Martin School
National Major Fund for Oil and Gas Special Project	;National Major Fund for Oil and Gas Special Project
RTD	;European Commission Directorate General for Research within the 7th Framework Programme of RTD Theme 2 Biotechnology Agriculture and Food Project
TERAPERS	;TERAPERS CEEX
PASCAL2	;European Network of Excellence PASCAL2;PASCAL2 Network of Excellence
Spanish Ministry of Science and Information Technology	;Spanish Ministry of Science and Information Technology
U S  Department of Energy Office of Basic Energy Sciences	;U S  Department of Energy Office of Basic Energy Sciences
National Grand Fundamental Research 973 Program of China	;National Grand Fundamental Research 973 Program of China
School of Computer Science Reykjavik University	;School of Computer Science Reykjavik University
Ministry of Education of Spain	;Ministry of Education of Spain
Rgion Nord/Pas-de-Calais	;Rgion Nord/Pas-de-Calais
National Nano Device Laboratory Taiwan	;National Nano Device Laboratory Taiwan
CBBS	;Center for Behavioral and Brain Sciences  CBBS
Amazon Web Services	;Amazon Web Services
TRCS	;Regional Blood Center V of the Thai Red Cross Society  TRCS
Medical Research Council UK	;Medical Research Council UK
Informatics Circle of Research Excellence  iCORE	;Informatics Circle of Research Excellence  iCORE
CNPq  The Brazilian Research Council	;CNPq  The Brazilian Research Council
Google	;Google
Wuhan S & T planning project of Wuhan Science and Technology Bureau	;Wuhan S & T planning project of Wuhan Science and Technology Bureau
DST-India	;DST-India
INIA-FEDER	;INIA-FEDER projects
National Centre for Antarctic and Ocean Research Goa India	;National Centre for Antarctic and Ocean Research Goa India
EC's 7th FP	;EC's 7th FP
TIARAC	;TIARAC - Telematics and Artificial Intelligence in Alternative Conflict Resolution
Extremadura Regional Government	;Extremadura Regional Government
ICSI	;European Commission under the Seventh Framework Programme  Intelligent Cooperative Sensing for Improved Traffic efficiency  ICSI  project
NSFof Shandong Province of China	;NSFof Shandong Province of China
NATEQ	;Fonds quebecois de la recherche sur la nature et les technologies  NATEQ
Natural Science Foundation of Jiangsu Province China	;Natural Science Foundation of Jiangsu Province China
CONCYTEG	;Consejo de Ciencia y Tecnologia del Estado Guanajuato  CONCYTEG  Guanajuato
FEDER-MCYT	;FEDER-MCYT
EVE	;EVE
DAPHNE	;Antwerp University DAPHNE  Defending Against Paedophiles in Heterogeneous Network Environments
Northern Ireland Investment Ltd	;Northern Ireland Investment Ltd
Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education	;Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education
Technology Support Plan of China	;Technology Support Plan of China
Young Researchers Foundation of Heilongjiang	;Young Researchers Foundation of Heilongjiang
VLSI	;field of Neuromorphic VLSI designing in form Senior Research
European Community	;European Community
PCSIRT	;Program for Changjiang Scholars and Innovative Research Team in University  PCSIRT
HFSP	;HFSP
Korean Bible University	;Korean Bible University
UTP	;Technological University of Panama  UTP
DGAPA	;DGAPA
Guangxi Science Foundation	;Guangxi Science Foundation
Pythagoras grant	;Pythagoras grant
Foundation of the National Institutes of Health	;Foundation of the National Institutes of Health
Ministry of Education Culture Sports Science and Technology of Japan	;Ministry of Education Culture Sports Science and Technology of Japan
Hi-Tech Research and Development Program of China	;Hi-Tech Research and Development Program of China
Civil Aviation University of China research fund	;Civil Aviation University of China research fund
Serbian Ministry of Education and Science	;Serbian Ministry of Education and Science
MSM	;MSM;MSM of the CTU in Prague
Science & Technology Park for Tourism and Leisure	;Science & Technology Park for Tourism and Leisure
University of Perugia	;University of Perugia
IUST	;Civil Engineering Department of Iran University of Science and Technology  IUST
SSTFFP	;SSTFFP
Deanship of Scientific Research Qassim University Saudi Arabia	;Deanship of Scientific Research Qassim University Saudi Arabia
National Institute of Informatics	;National Institute of Informatics
ROMEO	;ROMEO project  DGCIS;ROMEO project  Ile de France district Paris city
Universiti Malaysia Pahang	;Universiti Malaysia Pahang
CONACyT	;CONACyT
Gottlieb Daimler- and Karl Benz-Foundation	;Gottlieb Daimler- and Karl Benz-Foundation
New York University College of Nursing	;New York University College of Nursing
Michigan State University High Performance Computing Center	;Michigan State University High Performance Computing Center
Air Force Office of Scientific Research	;Air Force Office of Scientific Research
University Kebangsaan Malaysia	;University Kebangsaan Malaysia
Shenzhen Science and Technology Innovation Commission Project Grant	;Shenzhen Science and Technology Innovation Commission Project Grant
CITIC	;Center for Research of Information and Communication Technologies  CITIC
P08-TIC-3548	;P08-TIC-3548
Xian Jiao Tong University	;Xian Jiao Tong University
ICON	;ICON Foundation
FBI	;Federal Bureau of Investigation  FBI
Ministero dell'Istruzione dell'Universita e della Ricerca Project	;Ministero dell'Istruzione dell'Universita e della Ricerca Project
National Key Technology R D Program	;National Key Technology R D Program
doctor research fund of Jimei University	;doctor research fund of Jimei University
Tsinghua Basic Research Foundation	;Tsinghua Basic Research Foundation
Aeronautics Fund of China	;Aeronautics Fund of China
Smart Engineering Systems University Kebangsaan Malaysia	;Smart Engineering Systems University Kebangsaan Malaysia
CIEMAT	;Spanish Ministry of Economy and Competitiveness at the Research Centre for Energy Environment and Technology  CIEMAT
Canada Research Chairs Program	;Canada Research Chairs Program
SUNY	;Department of Radiology at SUNY Upstate Medical University;Office of the Vice President for Research at the University at Buffalo SUNY
National Institute of Neurological Disorders and Stroke	;National Institute of Neurological Disorders and Stroke
Department of Higher Education of Indonesia	;Department of Higher Education of Indonesia
National Science Fund for Distinguished Young Scholars of China	;National Science Fund for Distinguished Young Scholars of China
IDB	;IDB  Islamic Development Bank
Selcuk University's Scientific Research Projects	;Selcuk University's Scientific Research Projects
EIT	;EIT ICT Labs in the Medical Cyber-Physical Systems activity
Mellon Foundation	;Mellon Foundation
Polish National Centre for Research and Development project	;Polish National Centre for Research and Development project
Humanities Institute	;Humanities Institute
EUREKA	;EUREKA project;Spanish Ministry of Industry Tourism and Commerce under the EUREKA;Spanish Ministry of Industry Tourism and Commerce under the EUREKA project SITIO
Ministry of Science and Technology Israel	;Ministry of Science and Technology Israel
