111 Project	111 Project;
MSIP  Ministry of Science ICT and Future Planning  Korea under the ITRC  Information Technology Research Center  support program	MSIP  Ministry of Science ICT and Future Planning  Korea under the ITRC  Information Technology Research Center  support program;Korea government  MSIP;
MSM of the CTU in Prague	MSM of the CTU in Prague;MSM;
MSTAR Project	MSTAR Project;
MT-LAB	MT-LAB;
Multi-agent hybrid control of complex systems	Multi-agent hybrid control of complex systems;
N Z  Tertiary Education Commission under a Top Achiever Doctoral Scholarship	N Z  Tertiary Education Commission under a Top Achiever Doctoral Scholarship;
NA Software Ltd	NAC;NA Software Ltd;
Vietnam National Foundation for Science and Technology Development  NAFOSTED	Vietnam National Foundation for Science and Technology Development  NAFOSTED;
World Bank Funded - National Agricultural Innovation Project  NAIP  ICAR Grants	World Bank Funded - National Agricultural Innovation Project  NAIP  ICAR Grants;
Nakhon Ratchasima Thailand	Nakhon Ratchasima Thailand;
Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project	Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project;
Nano-Age Technology Group in Mashhad Iran	Nanyang Technological University;Nano-Age Technology Group in Mashhad Iran;
Nanzan University	Nanzan University;
NARSAD Young Investigator	NARSAD Young Investigator;
National Aeronautics and Space Administration  NASA  Gulf of Mexico Research Grant	National Aeronautics and Space Administration  NASA  Gulf of Mexico Research Grant;National Aeronautics and Space Administration  NASA;NASA Astrobiology Science and Technology Instrument Development Program;NASA Ames Research Center;NASA Ames;NASA Airspace Systems Program;NASA Advanced Exploration Systems program;NASA;
NASA/Caltech	NASA/Caltech;
NASA's Cooperative Agreement	NASA's Cooperative Agreement;
NASA's Earth Science Technology Office	NASA's Earth Science Technology Office;
NASA's Science Mission Directorate	NASA's Science Mission Directorate;
Nasco companies	Nasco companies;
NASR = National Authority for Scientific Research	Fonds quebecois de la recherche sur la nature et les technologies  NATEQ;NASR = National Authority for Scientific Research;
National 863 High Technology Programs of China	National 863 High Technology Programs of China;
National 863 plans projects of China	National 863 plans projects of China;
National 863 Project	National 863 Project;
National 973 Key Research Program	National 973 Program of China;National 973 Key Research Program;
National 973 Project of China	National Aeronautics and Space Administration;National 973 Project of China;
National and Kapodistrian University of Athens	National Basic Research Program  973 Program  of China;National Basic Research  973  Program of China;National and Kapodistrian University of Athens;
National Basic Research Program 973	National Basic Research Program 973;
National Basic Research Program of China	National Basic Research Program of China '973' Program;National Basic Research Program of China 973 Program;National Basic Research Program of China  973 Program;National Basic Research Program of China;
National Basic Research Project	National Basic Research Project;
National Cancer Institute	National Cancer Institute;
National Center for Medical Rehabilitation Research of National Institute of Child Health and Human Development	National Center for Medical Rehabilitation Research of National Institute of Child Health and Human Development;
National Center of Research and Development	National Center of Research and Development;
National Center of Research Resources  Bethesda MD	National Center of Research Resources  Bethesda MD;
National Centre for Antarctic and Ocean Research Goa India	National Centre for Antarctic and Ocean Research Goa India;
National Centre for Research and Development	National Centre for Research and Development;
National Centre of Science Poland	National Centre of Science Poland;
National Cheng Kung University  Taiwan	National Cheng Kung University  Taiwan;
National Council for Research and Development  CNPq	National Council for Research and Development  CNPq;
National Council for Scientific and Technological Development  CNPq	National Council for Scientific and Technological Development  CNPq;
National Council for Scientific and Technological Development-CNPq	National Council for Scientific and Technological Development-CNPq;
National Council of Science and Technology  CONACyT  in Mexico	National Council of Science and Technology  CONACyT  in Mexico;
National Council of Scientific and Technologic Development of Brazil - CNPq	National Council of Scientific and Technologic Development of Brazil - CNPq;
National Council of Technological and Scientific Development  CNPq	National Council of Technological and Scientific Development  CNPq;
National Education Department Foundation for Doctoral Program	National Fond for Scientific Research to the Bulgarian Ministry of Education and Science;National Education Department Foundation for Doctoral Program;
National Foundation for Research Technology and Development - Austria	National Foundation for Research Technology and Development - Austria;
National Foundation Research Project	National Foundation Research Project;
National Fund for Scientific Research	National Fund for Scientific Research;
National Fundamental Research Program	National High Technology Research and Development 863 Program of China;National High Technology Development 863 Program of China;National Grand Fundamental Research 973 Program of China;National Grand Fundamental Research 863 Program of China;National Fundamental Research Program;
National High Technology Research and Development Program of China	National High Technology Research and Development Program of China  863 program;National High Technology Research and Development Program of China  863;National High Technology Research and Development Program of China;
National High-tech Research and Development Program  '863'  of China	National High-tech Research and Development Program  '863'  of China;
National High-tech Research and Development Program of China	National High-Tech Research and Development program of China  863 Program;National High-tech Research and Development Program of China;
National High-tech Research and Development Project of China	National High-tech Research and Development Project of China;
National Hi-Tech Research and Development Program	National Hi-Tech Research and Development Program;
National Institute for Health Research Biomedical Research Centre	National Institute for Health Research Biomedical Research Centre;
National Institute for Nursing Research	National Institute for Nursing Research;
National Institute of Allergy and Infectious Diseases of the National Institutes of Health	National Institute of Allergy and Infectious Diseases of the National Institutes of Health;
National Institute of Astrophysics	National Institute of Astrophysics;
National Institute of Biomedical Imaging and Bioengineering	National Institute of Biomedical Imaging and Bioengineering;
National Institute of Diabetes and Digestive and Kidney Diseases	National Institute of Diabetes and Digestive and Kidney Diseases;
National Institute of General Medical Sciences of the National Institutes of Health	National Institute of General Medical Sciences of the National Institutes of Health;
National Institute of General Medical Sciences of the United States National Institutes of Health	National Institute of General Medical Sciences of the United States National Institutes of Health;
National Institute of Informatics	National Institute of Informatics;
National Institute of Mental Health	National Institute of Mental Health;
National Institute of Neurological Disorders and Stroke	National Institute of Neurological Disorders and Stroke;
National Institute of Science and Technology for Software Engineering	National Institute of Science and Technology for Software Engineering;
National Institute of Technology Rourkela during the completion of the study	National Institute of Technology Rourkela during the completion of the study;
National Institute of Technology Rourkela Govt  of India	National Institutes of Health;National Institute on Aging the National Institute of Biomedical Imaging and Bioengineering;National Institute of Technology Rourkela Govt  of India;
National Institutes of Health Bethesda Maryland	National Institutes of Health Bethesda Maryland;
National Institutes of Health National Institute of Child Health and Human Development	National Institutes of Health National Institute of Child Health and Human Development;
National Institutes of Health Small Business Innovation Research grant	National Institutes of Health Small Business Innovation Research grant;
National Institutes of Health/National Heart Lung and Blood Institute	National Key Basic Research and Development  973  Program of China;National Institutes of Health/National Heart Lung and Blood Institute;
National Key Basic Research and Development Program of China	National Key Basic Research Program  973 Program  of China;National Key Basic Research and Development Program of China;
National Key Basic Research Program of China	National Key Basic Research Program of China  973 program;National Key Basic Research Program of China;
National Key Project on Water Pollution Control of China	National Key Project on Water Pollution Control of China;
National Key Technology R D Program	National Key Technology R D Program;
National Key Technology Research and Development Program	National Key Technology Research and Development Program;
National Library of Medicine	National Library of Medicine of the National Institute of Health;National Library of Medicine;
National Major Fund for Oil and Gas Special Project	National Major Fund for Oil and Gas Special Project;
National Nano Device Laboratory Taiwan	National Nano Device Laboratory Taiwan;
National Natural Science Founction of China	National Natural Science Foundation;National Natural Science Founction of China;
National Natural Science Foundation China	National Natural Science Foundation of China;National Natural Science Foundation China;
National Natural Science Foundation of China under Grant	National Natural Science Foundation of China under Grant;
